mean_u__wind,mean_v__wind,month_end,month_init,time_finish,time_start,year
-1.2217864392923863,-0.3428918045059748,1,8,2011-01-17,2010-08-20,2010
-1.1075621318986704,-0.4571402246707298,2,1,2011-02-23,2011-01-17,2011
-1.4678480775866358,-0.287115609079475,8,2,2011-08-07,2011-02-23,2011
-1.2515100216011545,0.03840351826967166,12,8,2011-12-26,2011-08-31,2011
-0.8982180419239213,-0.20206644231756046,1,12,2012-01-26,2011-12-26,2011
-1.5509693090155179,-0.1372260690335416,8,1,2012-08-11,2012-01-26,2012
-2.1978270824509436,0.090032202495641,9,8,2012-09-05,2012-08-11,2012
-1.475387334212108,0.07540898954771762,1,9,2013-01-08,2012-09-05,2012
-1.5606285249036849,-0.30953685341238163,2,1,2013-02-12,2013-01-08,2013
-1.4682450258203203,-0.24140218637544825,8,2,2013-08-20,2013-02-12,2013
-1.374423958849253,-0.10822253373450186,9,8,2013-09-24,2013-08-20,2013
-1.1766086337962167,-0.07502585151541082,12,9,2013-12-05,2013-09-24,2013
-1.5279942322891387,-0.3587264790520134,2,12,2014-02-02,2013-12-05,2013
-1.9367360326634855,-0.3228848275396419,9,2,2014-09-02,2014-02-02,2014
-1.7814510039686577,0.18723955643193865,12,9,2014-12-18,2014-09-29,2014
-1.65878033609433,-0.3047030986970733,2,12,2015-02-10,2014-12-18,2014
-1.9736381468493949,-0.3569319499930899,9,2,2015-09-02,2015-02-10,2015
-2.3629365850794937,-0.44983280111317486,2,9,2016-02-23,2015-09-21,2015
-1.5346930758994046,-0.27660081528953645,4,2,2016-04-02,2016-02-23,2016
-1.5539386916349986,-0.2266076868410064,7,4,2016-07-20,2016-04-02,2016
-1.1706855284625557,-0.12273548522436355,9,7,2016-09-02,2016-07-20,2016
-1.3402386063203129,0.1061630588739116,1,9,2017-01-01,2016-09-02,2016
-1.210449008431586,-0.44806533005630117,2,1,2017-02-01,2017-01-01,2017
-1.496695066018424,-0.4101122937999464,8,2,2017-08-03,2017-02-01,2017
-1.6449119246729322,-0.10949735428245076,12,8,2017-12-31,2017-08-27,2017
-1.1236080585834731,-0.5914108314264122,2,12,2018-02-17,2017-12-31,2017
-1.4627932284801826,-0.4211419429872869,8,2,2018-08-15,2018-02-17,2018
-1.64188613833115,-0.2924724683445081,9,8,2018-09-16,2018-08-15,2018
-1.752077150123998,-0.26681375481325514,12,9,2018-12-09,2018-09-16,2018
-1.6290739480717658,-0.5227828525228385,1,12,2019-01-23,2018-12-09,2018
-1.6806817008118882,-0.41004629413898597,8,1,2019-08-22,2019-01-23,2019
-1.9526669360858533,-0.2534714462609174,9,8,2019-09-18,2019-08-22,2019
-1.2090911217687608,0.04305190104606177,12,9,2019-12-07,2019-09-18,2019
-1.4642171150294132,-0.5531382907398371,2,12,2020-02-07,2019-12-07,2019
-1.3380525778357402,-0.3021003662550314,8,2,2020-08-08,2020-02-07,2020
-1.8963570374603052,-0.3404116104347537,9,8,2020-09-04,2020-08-08,2020
-1.4543881826396023,-0.2305426667671758,12,9,2020-12-23,2020-09-04,2020
-1.1823703647076025,-0.4243958436016131,1,12,2021-01-27,2020-12-23,2020
-1.1801520341852447,-0.4002054265534337,8,1,2021-08-30,2021-01-27,2021
-1.3971400083745538,-0.03124415528722655,9,8,2021-09-26,2021-08-30,2021
-1.1032556711098658,-0.12143314404649196,11,9,2021-11-22,2021-09-26,2021
-0.9649147160008972,-0.30573074983461757,1,11,2022-01-01,2021-11-22,2021
-1.2538261562025728,-0.4142155098593089,8,1,2022-08-24,2022-01-01,2022
-2.1672999285172243,-0.2773455785638498,9,8,2022-09-16,2022-08-24,2022
-1.1286486675354408,-0.2608783457796705,1,9,2023-01-09,2022-09-16,2022
-1.1435579357872645,-0.6949316597714716,2,1,2023-02-15,2023-01-09,2023
-1.6044709059300162,-0.2578312890124444,8,2,2023-08-01,2023-02-15,2023
-2.0543318857545376,-0.2839521759965702,8,8,2023-08-25,2023-08-01,2023
-2.077204007114916,-0.1954695425594907,1,8,2024-01-26,2023-08-25,2023
-1.9102428709106107,-0.190819688900328,3,1,2024-03-25,2024-01-26,2024
-1.369803964214407,-0.20257116454676286,4,3,2024-04-06,2024-03-25,2024
-1.321463943476651,-0.26609254461013304,5,4,2024-05-30,2024-04-06,2024
-1.9078886644646549,-0.32421856051810216,12,05,2025-01-01,2024-05-30,2024
